time,open,high,low,close
1634101200,1762.23,1762.80,1760.46,1760.68
1634104800,1760.69,1762.50,1760.21,1762.03
1634108400,1762.02,1763.29,1761.60,1761.62
1634112000,1761.61,1762.89,1760.80,1762.71
1634115600,1762.71,1763.76,1761.56,1762.69
1634119200,1762.70,1765.76,1761.90,1765.12
1634122800,1765.10,1768.98,1765.04,1766.81
1634126400,1766.82,1768.43,1766.38,1767.73
1634130000,1767.72,1773.43,1767.49,1773.24
1634133600,1773.25,1774.40,1770.83,1773.56
1634137200,1773.64,1777.45,1758.18,1761.64
1634140800,1761.64,1782.80,1757.90,1781.76
1634144400,1781.66,1795.52,1781.62,1792.82
1634148000,1792.74,1796.14,1791.40,1794.50
1634151600,1794.50,1795.57,1792.36,1792.58
1634155200,1792.52,1795.13,1790.67,1791.80
1634158800,1791.80,1793.80,1790.77,1793.78
1634162400,1793.81,1793.81,1790.91,1791.93
1634166000,1791.86,1793.42,1791.86,1792.98
1634173200,1793.04,1793.73,1792.29,1793.03
1634176800,1793.04,1793.22,1791.67,1791.76
1634180400,1791.78,1793.22,1791.21,1792.85
1634184000,1792.84,1793.86,1789.08,1789.50
1634187600,1789.51,1790.12,1786.70,1788.50
1634191200,1788.49,1789.91,1787.66,1788.61
1634194800,1788.59,1790.90,1788.31,1790.83
1634198400,1791.04,1791.83,1789.88,1791.42
1634202000,1791.40,1794.28,1790.80,1793.77
1634205600,1793.77,1795.05,1790.77,1794.01
1634209200,1794.01,1797.54,1793.76,1796.09
1634212800,1796.13,1798.56,1795.36,1797.01
1634216400,1797.02,1800.19,1796.97,1799.95
1634220000,1800.00,1800.57,1795.62,1795.68
1634223600,1795.60,1799.59,1793.82,1799.03
1634227200,1799.12,1799.56,1793.97,1796.02
1634230800,1796.09,1799.39,1794.69,1796.85
1634234400,1796.87,1798.92,1796.22,1798.30
1634238000,1798.28,1798.98,1796.09,1796.80
1634241600,1796.69,1797.25,1795.88,1797.19
1634245200,1797.18,1798.97,1796.45,1798.76
1634248800,1798.78,1799.15,1796.26,1796.59
1634252400,1796.54,1797.17,1795.72,1795.83
1634259600,1796.11,1796.25,1795.68,1795.76
1634263200,1795.78,1796.05,1794.86,1795.45
1634266800,1795.44,1796.36,1794.22,1794.65
1634270400,1794.65,1796.47,1793.83,1794.60
1634274000,1794.60,1796.10,1793.94,1795.59
1634277600,1795.59,1795.69,1794.19,1795.09
1634281200,1795.12,1795.35,1793.77,1794.21
1634284800,1794.36,1794.47,1791.43,1792.52
1634288400,1792.54,1793.37,1790.40,1791.73
1634292000,1791.84,1792.16,1785.50,1786.72
1634295600,1786.73,1789.97,1785.99,1786.06
1634299200,1786.06,1787.45,1780.82,1783.74
1634302800,1783.73,1783.76,1780.83,1781.01
1634306400,1781.04,1783.01,1777.59,1778.33
1634310000,1778.32,1779.07,1764.85,1767.35
1634313600,1767.52,1773.82,1765.95,1771.67
1634317200,1771.97,1776.41,1771.49,1775.00
1634320800,1774.94,1775.19,1766.34,1768.48
1634324400,1768.47,1769.39,1766.55,1767.80
1634328000,1767.85,1769.10,1767.13,1767.98
1634331600,1768.10,1768.83,1767.20,1767.78
1634335200,1767.79,1768.75,1767.03,1768.32
1634338800,1768.30,1768.53,1766.73,1767.82
1634518800,1767.22,1768.53,1764.94,1768.53
1634522400,1768.53,1772.05,1767.93,1770.98
1634526000,1771.05,1771.42,1769.02,1771.36
1634529600,1771.30,1772.09,1769.49,1770.69
1634533200,1770.70,1771.82,1770.35,1770.85
1634536800,1770.82,1770.93,1767.35,1767.75
1634540400,1767.90,1768.71,1766.61,1768.24
1634544000,1768.22,1769.44,1767.73,1768.15
1634547600,1768.05,1768.72,1761.93,1764.57
1634551200,1764.57,1766.93,1762.53,1764.41
1634554800,1764.40,1766.87,1761.23,1762.73
1634558400,1762.74,1765.07,1761.32,1762.40
1634562000,1762.38,1762.87,1760.31,1761.77
1634565600,1761.77,1764.58,1761.40,1763.08
1634569200,1763.13,1768.45,1761.57,1765.17
1634572800,1765.14,1769.94,1762.79,1768.82
1634576400,1768.84,1771.22,1767.00,1770.38
1634580000,1770.42,1770.98,1767.12,1767.82
1634583600,1767.84,1767.90,1765.08,1766.77
1634587200,1766.75,1767.86,1764.71,1767.26
1634590800,1767.28,1767.70,1765.31,1765.79
1634594400,1765.75,1766.17,1763.94,1764.19
1634598000,1764.07,1764.91,1763.96,1764.46
1634605200,1764.99,1765.05,1763.66,1763.69
1634608800,1763.66,1764.15,1762.96,1764.07
1634612400,1764.09,1767.45,1763.30,1767.45
1634616000,1767.47,1773.04,1767.02,1771.95
1634619600,1771.96,1774.63,1771.60,1774.13
1634623200,1774.16,1774.93,1773.33,1774.77
1634626800,1774.96,1775.80,1774.38,1774.57
1634630400,1774.59,1777.75,1773.75,1777.57
1634634000,1777.54,1779.17,1775.88,1778.83
1634637600,1778.86,1782.84,1777.47,1781.43
1634641200,1781.43,1782.94,1780.94,1781.44
1634644800,1781.41,1782.43,1778.45,1779.53
1634648400,1779.47,1780.15,1777.21,1778.51
1634652000,1778.52,1780.81,1775.91,1780.50
1634655600,1780.51,1784.54,1777.40,1781.59
1634659200,1781.63,1785.14,1776.14,1778.25
1634662800,1778.24,1779.62,1770.30,1773.15
1634666400,1773.06,1773.31,1769.50,1771.17
1634670000,1771.17,1771.45,1767.15,1769.52
1634673600,1769.53,1771.13,1768.12,1770.01
1634677200,1770.00,1770.94,1769.09,1770.64
1634680800,1770.66,1770.69,1768.73,1770.20
1634684400,1770.22,1770.22,1768.59,1768.59
1634691600,1769.39,1769.87,1769.06,1769.07
1634695200,1769.06,1769.34,1768.23,1768.70
1634698800,1768.71,1769.14,1766.87,1769.14
1634702400,1768.82,1773.55,1767.78,1772.47
1634706000,1772.46,1774.18,1769.53,1774.18
1634709600,1774.18,1774.63,1772.79,1774.07
1634713200,1774.07,1774.57,1773.35,1774.20
1634716800,1774.20,1777.14,1773.47,1776.44
1634720400,1776.56,1778.03,1775.16,1776.28
1634724000,1776.24,1777.14,1774.62,1776.66
1634727600,1776.68,1779.34,1776.49,1779.08
1634731200,1779.08,1779.64,1777.78,1778.97
1634734800,1778.97,1780.50,1778.09,1780.19
1634738400,1780.19,1781.79,1778.48,1779.60
1634742000,1779.56,1788.42,1779.37,1786.65
1634745600,1786.57,1787.45,1774.86,1780.08
1634749200,1779.93,1784.71,1776.78,1782.59
1634752800,1782.59,1784.75,1781.77,1783.57
1634756400,1783.59,1786.86,1783.03,1786.75
1634760000,1786.76,1787.58,1783.11,1785.51
1634763600,1785.48,1786.89,1785.15,1786.41
1634767200,1786.39,1786.39,1784.04,1785.35
1634770800,1785.33,1785.85,1780.82,1781.74
1634778000,1782.50,1783.03,1781.98,1782.07
1634781600,1782.06,1783.05,1781.48,1781.48
1634785200,1781.45,1784.71,1781.24,1783.92
1634788800,1783.92,1787.07,1782.25,1786.81
1634792400,1786.81,1789.40,1786.53,1787.59
1634796000,1787.60,1788.08,1785.41,1786.45
1634799600,1786.46,1786.70,1784.24,1784.67
1634803200,1784.70,1786.25,1782.70,1786.05
1634806800,1786.01,1787.61,1782.55,1783.48
1634810400,1783.59,1783.85,1780.86,1782.62
1634814000,1782.62,1786.47,1781.90,1786.02
